Date,Athlete ID,Location,Type
01/01/2023 09:00:00,10012,Center,Out
01/01/2023 09:00:00,10001,Pool-1,Out
01/01/2023 09:00:00,10001,Pool-1,Out
01/01/2023 09:00:00,10011,Pool-2,In
01/01/2023 12:14:59,10011,Pool-1,In
01/01/2023 12:44:59,10011,Pool-2,Out
01/01/2023 12:14:59,10013,Center,Out
01/01/2023 12:14:59,10019,Pool-2,In
01/01/2023 16:14:59,10018,Pool-1,Out
01/01/2023 16:14:59,10020,Pool-2,Out
01/01/2023 16:14:59,10011,Pool-2,In
01/01/2023 18:39:55,10011,Center,In
01/01/2023 19:09:55,10011,Pool-2,Out
01/01/2023 18:39:55,10017,Pool-2,In
01/01/2023 20:41:40,10017,Center,In
01/01/2023 21:11:40,10017,Pool-2,Out
